City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,qamdo,31.1667,97.2333,3.63,88,97,1.6,CN,1693253612
262,tanjung pandan,-2.75,107.65,24.12,84,53,3.56,ID,1693253612
263,la sarre,48.8002,-79.1996,21.94,24,4,4.62,CA,1693253613
264,usinsk,65.9939,57.5281,6.44,89,37,2.69,RU,1693253581
265,newman,37.3138,-121.0208,35.03,11,0,3.16,US,1693253613
266,san felice circeo,41.2372,13.0942,22.87,55,98,11.23,IT,1693253615
267,chunskiy,56.0815,99.6342,16.06,84,70,1.9,RU,1693253616
268,vredendal,-31.6683,18.5012,21.96,21,0,3.98,ZA,1693253616
269,loncoche,-39.3667,-72.6333,11.23,71,61,1.26,CL,1693253617
270,fallon,39.4735,-118.7774,34.4,25,0,1.54,US,1693253617
271,mao,39.8885,4.2658,24.31,60,20,4.63,ES,1693253617
272,gao,16.6362,1.637,34.17,33,52,2.26,ML,1693253618
273,vanimo,-2.6741,141.3028,24.77,93,93,1.95,PG,1693253618
274,ta`u,-14.2336,-169.5144,26.03,77,100,9.7,AS,1693253619
275,mont-laurier,46.5501,-75.4993,21.79,39,5,2.37,CA,1693253619
276,puerto deseado,-47.7503,-65.8938,8.97,59,0,5.52,AR,1693253619
277,porto velho,-8.7619,-63.9039,35.03,43,0,2.57,BR,1693253620
278,maxixe,-23.8597,35.3472,19.05,69,95,4.67,MZ,1693253620
279,tortum,40.2973,41.5477,16.97,50,40,1.46,TR,1693253621
280,saint-philippe,-21.3585,55.7679,22.77,83,25,3.98,RE,1693253621
281,hadibu,12.65,54.0333,26.33,81,44,7.78,YE,1693253622
282,al 'aziziyah,32.9058,45.0616,35.58,20,0,4.45,IQ,1693253622
283,beira,-19.8436,34.8389,20.05,82,75,6.71,MZ,1693253197
284,lethem,3.3803,-59.7968,32.86,49,76,1.06,GY,1693253623
285,nikolayevsk-on-amure,53.1406,140.73,11.68,84,0,1.33,RU,1693253624
286,sitka,57.0531,-135.33,18.94,72,20,2.06,US,1693253624
287,esperanza,19.5847,-70.9849,34.61,57,71,2.68,DO,1693253625
288,misratah,32.3754,15.0925,26.93,80,1,12.35,LY,1693253625
289,umm kaddadah,13.6017,26.6876,33.03,39,44,5.77,SD,1693253626
290,cungus,38.2125,39.2856,17.27,63,2,1.39,TR,1693253626
291,patterson,37.4716,-121.1297,35.01,12,0,3.7,US,1693253626
292,salinas,36.6777,-121.6555,35.0,66,0,5.66,US,1693253400
293,itamaraca,-7.7478,-34.8256,27.03,77,0,2.98,BR,1693253627
294,lobujya,27.95,86.8167,1.72,80,99,1.15,NP,1693253628
295,fredericksburg,38.3032,-77.4605,26.54,92,100,2.06,US,1693253478
296,serhetabat,35.2799,62.3438,19.22,28,0,2.29,TM,1693253628
297,shakawe,-18.3667,21.85,21.45,44,2,4.15,BW,1693253629
298,labrador city,52.9463,-66.9114,17.47,55,100,3.42,CA,1693253409
299,lago da pedra,-4.3333,-45.1667,38.22,21,16,2.95,BR,1693253630
300,atafu village,-8.5421,-172.5159,28.07,76,98,7.73,TK,1693253630
301,acarau,-2.8856,-40.12,28.02,68,0,7.58,BR,1693253631
302,grand baie,-20.0182,57.5802,22.47,73,12,1.34,MU,1693253623
303,crane,31.3974,-102.3501,29.55,47,77,3.35,US,1693253636
304,campbellton,48.0075,-66.6727,24.25,38,0,2.63,CA,1693253637
305,gun barrel city,32.3346,-96.1514,35.25,42,71,2.57,US,1693253637
306,levanger,63.7464,11.2996,13.03,92,100,2.89,NO,1693253638
307,ancud,-41.8697,-73.8203,9.53,68,19,3.74,CL,1693253639
308,les cayes,18.2,-73.75,30.75,71,99,4.96,HT,1693253640
309,yibin,28.7667,104.6238,21.58,88,88,0.86,CN,1693253640
310,longfeng,46.55,125.1167,15.68,85,100,3.66,CN,1693253636
311,tofol,5.3248,163.0078,28.94,76,100,5.41,FM,1693253641
312,martapura,-3.4167,114.85,23.05,100,12,1.54,ID,1693253641
313,huilong,31.8111,121.655,23.29,96,100,4.74,CN,1693253642
314,oum hadjer,13.2954,19.6966,23.88,86,100,5.24,TD,1693253643
